Artist,Longest Rhyme Length,Average Rhyme,Num_Lines,Avg_Num_Chars_Line,Avg_Num_Lines,Num_Words,Perc_Unique_Words,a,aint,all,and,at,be,bitch,but,can,dont,for,fuck,get,got,her,i,if,im,in,is,it,its,just,know,like,love,me,my,nigga,no,not,now,of,on,she,shit,so,that,the,they,this,to,up,was,we,what,when,with,you,your
1,7,1.053677932,70,36.414,7.8286,531,0.48776,1.3183,0,1.3183,3.0132,0.18832,0.56497,0,0.18832,0.18832,1.1299,0.7533,0.37665,0.94162,0,0.37665,4.7081,0.18832,1.1299,1.8832,0.37665,0.7533,0,0.7533,0,0.37665,0.37665,0.56497,2.6365,0,0,1.1299,0,1.1299,0.18832,0,0.37665,0.18832,3.2015,2.0716,0,0.37665,1.3183,0.18832,0.37665,0,0.7533,0.37665,0.18832,0,0
1,6,1.224852071,33,45,9.6061,310,0.5871,2.2581,0.32258,1.2903,1.9355,0.64516,1.2903,0,0.32258,0,0,0.96774,0.64516,0.32258,0.32258,0,4.8387,0,0.64516,0.96774,0,0,0,0.32258,0.96774,0,0.96774,0.64516,3.2258,0,0,0,0.32258,1.6129,0.96774,2.5806,2.5806,1.2903,5.4839,4.1935,0,1.2903,1.6129,0.32258,0.32258,0,0.64516,0.32258,0,0,0
1,10,1.232087227,58,52.621,10.931,627,0.50718,3.1898,0,1.2759,2.2329,0,1.5949,0,0.63796,0.31898,0.47847,0.31898,0.63796,0.31898,0.63796,0,5.2632,0.15949,1.1164,1.4354,0.31898,0.95694,0.47847,0.79745,0.95694,1.5949,0.31898,2.2329,2.8708,0,0.15949,0.47847,0,0.79745,0.47847,0.63796,0.63796,0.47847,3.5088,2.2329,0.63796,0.31898,1.7544,1.1164,0,0.95694,0.79745,0.15949,0.47847,0,0
1,6,0.974955277,64,43.203,8.5156,538,0.51859,2.7881,0.37175,0.55762,2.2305,0,0,0,1.3011,0.18587,0,0.37175,0.37175,0.18587,0.55762,0.18587,2.6022,0.55762,0.92937,0.92937,0.55762,0.92937,0.37175,0.37175,0.92937,1.8587,0.74349,0.55762,1.487,0.55762,0.18587,0.37175,0.18587,0.55762,0.92937,0,0.74349,0.37175,2.0446,3.3457,0.74349,0.18587,1.1152,1.3011,0.37175,0.55762,0,0,1.3011,0,0
1,5,0.78189911,72,45.597,9.1667,656,0.35518,1.2195,0.91463,0,1.8293,0.60976,1.0671,0,0.30488,0,0.15244,0.60976,0,0,0,0,3.0488,0.15244,1.0671,0.60976,0,0.7622,0,0.45732,0.60976,0.15244,0.30488,0.45732,0.60976,0,0,0,0.30488,0.91463,0.45732,0,0,0.15244,1.372,0.7622,0.15244,0.30488,1.372,0.30488,0.45732,0.15244,0.45732,0,0,0,0
1,6,1.089324619,42,49.881,10.714,446,0.47758,0.44843,0.44843,0.67265,0.67265,0.22422,0.67265,0,0.22422,0.22422,0.44843,0.44843,0.89686,0,0.22422,0,1.3453,0,2.4664,0.89686,0.67265,0.89686,0.44843,0.89686,1.5695,1.3453,0,0,4.0359,1.1211,0,0,0.44843,0.67265,0.89686,1.5695,1.1211,0.22422,7.3991,2.4664,0,3.139,1.1211,0,0.44843,0.22422,0.44843,0.22422,2.0179,0,0
1,7,0.810506567,63,41.714,9.2222,576,0.37153,2.7778,0.17361,0.34722,3.6458,0,1.2153,0.34722,0.34722,0.17361,0,0.52083,1.3889,0.17361,0.34722,0,3.4722,0.34722,2.7778,0.34722,0,0.52083,0.52083,1.2153,0,0,0,1.2153,1.3889,0.34722,0,0.17361,0,0.34722,0.86806,0,0,5.2083,1.5625,2.2569,0.69444,0.34722,0.17361,0,2.0833,0,0,0,0,0,0
1,5,0.748120301,34,41.706,8.5,287,0.36585,1.0453,0.69686,0.69686,2.0906,0,0,0,0.69686,0,0,0.69686,0,0,0,0.69686,3.4843,0,0,2.439,3.1359,2.0906,0,0.34843,0.69686,0,12.544,0,0,0,0,0,0,0.34843,0.34843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.981941309,46,48.826,9.7609,443,0.52822,1.5801,1.1287,0.45147,1.8059,0,0.22573,0.90293,0.45147,0.22573,0.22573,0.90293,0,0.90293,0.45147,0,2.9345,0.22573,0.6772,1.1287,0.45147,1.1287,0.45147,0.6772,0.6772,0,0.90293,0.22573,1.1287,2.2573,0.22573,0,0,0.6772,0.45147,0,0,0.22573,6.772,5.6433,0.45147,0.22573,1.1287,1.5801,0,0,0,0.22573,0.45147,0,0
1,6,1.025723473,34,41.235,8.9412,296,0.55743,0.67568,0.33784,0.67568,1.3514,0,0,0,0,0.33784,0,0.33784,1.0135,1.0135,0,2.027,2.7027,0.67568,1.6892,2.3649,0.67568,1.3514,0.67568,0,0.33784,1.0135,1.0135,3.3784,2.3649,0,0.67568,0.33784,0,0.33784,0.67568,2.027,0.67568,1.0135,1.0135,1.6892,0,1.3514,0.33784,0.33784,0,0,0,0,0,0,0
