Num_Lines,Avg_Num_Chars_Line,Avg_Num_Lines,Num_Words,Perc_Unique_Words,3,a,about,act,after,again,ah,ahh,aint,air,album,alive,all,already,alright,always,am,an,and,another,anything,are,around,as,ask,ass,at,away,ba,baby,back,bad,bang,be,beach,beat,because,been,before,being,believe,best,better,big,bitch,black,blood,blow,blue,body,both,bottle,bottom,bought,bout,bow,boy,boys,bring,broke,burn,but,buy,by,call,came,can,car,care,catch,cause,ch,cha,change,check,city,clap,close,club,cold,come,comin,coming,cool,could,couple,crack,crazy,crown,cry,cut,da,daddy,damn,day,days,dea,deal,dick,did,didnt,die,different,do,doe,doin,doing,dollar,done,dont,door,dope,down,dream,drink,drive,drop,drugs,dude,eat,else,em,end,enough,even,ever,every,everybody,everything,explain,eyes,face,fall,family,far,fast,feel,find,fire,first,flash,fly,for,forever,friends,from,front,fuck,fuckin,fucking,full,g,game,gang,gave,get,gettin,getting,girl,girls,give,go,god,goes,going,gold,gon,gone,gonna,goo,got,gotta,great,guess,guy,ha,had,half,hand,hands,hang,happen,hard,hate,hater,have,he,head,hear,heart,hell,hello,help,her,here,hes,hey,high,him,his,hit,ho,hoe,hold,home,homie,hoo,hope,hot,house,how,huh,hundred,hurt,i,id,if,igh,im,ima,imma,in,inside,into,is,it,its,ive,juice,juke,jumpman,just,keep,kid,kids,kill,kinda,knew,knock,know,la,last,late,lay,leave,left,let,lets,lie,life,light,lights,like,listen,little,live,living,long,look,lose,lost,lot,love,low,mad,made,make,makes,making,mama,man,maybe,me,mean,meet,might,million,mind,mine,miss,momma,money,more,mouth,move,much,music,my,myself,na,nah,name,need,never,new,next,nigga,niggas,niggaz,night,no,nobody,not,nothing,now,o,of,off,oh,ohh,okay,ol,on,one,only,ooh,open,or,other,our,out,over,own,paper,park,pass,past,pay,people,phone,picture,place,play,please,pop,pray,pretty,probably,problem,pull,pussy,put,rap,rappers,ready,real,really,red,remember,rich,ride,right,rock,roll,room,round,run,running,said,same,save,say,school,see,seen,set,shady,she,shes,shit,shoe,shorty,should,show,shut,sick,side,since,skeet,sleep,smoke,so,some,somebody,someone,somethin,something,sometime,song,sound,stack,start,stay,still,stop,street,suck,summer,sure,swear,take,taking,talk,taste,team,tell,ten,text,than,thank,that,the,their,them,then,there,these,they,thing,think,this,though,thought,three,through,throw,til,till,time,times,tired,to,told,tonight,too,took,top,town,trip,true,truth,try,tryna,turn,two,uh,uhh,understand,until,up,us,use,verse,wait,wake,walk,wanna,want,was,watch,water,way,we,wear,wee,well,went,were,what,whats,when,where,while,white,who,whole,why,will,wish,with,wolf,wont,work,world,worth,would,wouldnt,wow,wrong,ya,yall,yeah,year,yes,yo,you,young,your,youre,yourself
70,36.414,7.8286,531,0.48776,0,1.3183,0,0,0,0.18832,0,0,0,0,0,0,1.3183,0,0,0.18832,0.7533,0.18832,3.0132,0,0,0,0,0.56497,0,0,0.18832,0.18832,0,0,0.56497,0,0,0.56497,0,0,0,0.37665,0.18832,0.18832,0,0,0,0.18832,0,0,0,0,0,0,0,0,0,0,0,1.5066,0,0,0,0,0.18832,0.18832,0,0.18832,0,0,0.18832,0,0,0,0.18832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18832,0,0,0,0,0,0,0,0,0.18832,0,0,0,0,0,0,0,0,0,0.37665,0,0,0,0,0,1.1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18832,0,0,0,0,0,0,0.18832,0.37665,0.37665,0,0,0,0,0.18832,0,0,0,0,0.56497,0,0,0.56497,0,0.18832,0,0,0,0,0,0,0,0.94162,0,0.37665,0,0.18832,0,0.37665,0.37665,0.18832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37665,0,0,0,0.37665,0.18832,0,0,0,0,0,0,0.18832,0,0,0,0.18832,0.56497,0.56497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,30.656,6.1094,389,0.61183,0,5.6555,0.25707,0,0,0,0,0,0.25707,0.25707,0,0,0.51414,0,0,0,0,0,3.599,0,0,0,0,0,0.25707,0,0,0,0,0,0,0.25707,0.51414,1.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25707,0,0,0,0,0,0,0,0,0,0,0,0,0.51414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51414,0,0,0,0,0,0.25707,0,0,0.25707,0,0.51414,0,0,0,0,0,0,0,0.25707,0,0,0,0,0,0.25707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25707,0,0,0.25707,0,0,0,0.25707,0,0,0,0,0,0,0,0,0,0,0,0.25707,0,0,0,0,0.25707,0.25707,0.25707,0,0,0,0,0,0.25707,0,0.25707,0,0,0,0.25707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25707,0.25707,0,0,0,0,0,0.25707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,45,9.6061,310,0.5871,0,2.2581,0,0,0,0,0,0,0.32258,0,0,0,1.2903,0,0,0.32258,0,0.32258,1.9355,0,0,0,0,0,0,0,0.64516,0,0,0,0.32258,0,0.32258,1.2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32258,0,0,0,0,0,0.32258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32258,0,0,0,0,0,0,0,0,0.32258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32258,0,0,0,0.64516,0,0,0.32258,0,0.32258,0,0,0,0,0,0,0,0.32258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,52.621,10.931,627,0.50718,0,3.1898,0.31898,0,0,0,0,0,0,0,0.15949,0,1.2759,0,0,0,0,0.31898,2.2329,0,0,0.15949,0,0,0,0,0,0,0,0,0,0,0,1.5949,0,0,0,0.15949,0,0,0,0,0,0,0,0,0,0.15949,0,0.15949,0,0,0,0,0,0,0,0,0,0,0.47847,0.63796,0,0,0,0,0.31898,0,0,0,0.31898,0,0,0,0.47847,0,0,0,0,0,0.15949,0,0,0,0.31898,0,0,0,0,0,0,0,0,0,0,0.15949,0,0,0.15949,0.15949,0,0,0,0,0,0,0,0,0,0.47847,0,0.15949,0.15949,0,0,0,0,0.15949,0,0,0,0.15949,0.15949,0.15949,0.15949,0,0,0,0,0,0.15949,0,0,0,0,0.15949,0.15949,0,0,0,0,0,0.15949,0,0,0,0,0.31898,0,0.15949,0,0,0,0,0,0.31898,0,0,0,0,0,0.63796,0.47847,0,0.15949,0,0,0,0,0,0.63796,0,0,0,0,0,0,0,0,0,0,0,0.15949,0,0,0,0.15949,0,0,0,0,0,0,0,0,0.31898,0,0.15949,0,0,0,0,0,0,0.15949,0,0,0,0,0,0.15949,0,0,0,5.2632,0,0.15949,0.15949,1.1164,0.15949,0.31898,1.4354,0.31898,0,0.31898,0.95694,0.47847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,45.597,9.1667,656,0.35518,0,1.2195,0,0,0.15244,0,0,0,0.91463,0,0,0,0,0,0.15244,0.15244,0.30488,0,1.8293,0,0.30488,0,0,0,0,0,0.60976,0,0,0,0.15244,0.45732,6.4024,1.0671,0,0.15244,0,0.15244,0,0,0,0,0.15244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30488,0,0,0.15244,0,0,0,0.15244,0,0.15244,0,0,0,0,0,0,0,0,0,0,0,0.15244,0,0.30488,0,0,0,0,0,0,0,0,0.30488,0,0,0,0,0,0,0,0,0,0.15244,0,0,0.60976,0,0.30488,0.15244,0,0,0,0,0,0,0,0,0.15244,0,0,0.15244,0,0,0.45732,0,0,0,0,0,0,0,0,0,0,0,0.30488,0,0,0.30488,0,0.15244,0.60976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45732,0,0.15244,0,0,0,0,0,0.15244,0,0,0,0,0,0,0,0,0,0,0.30488,0.15244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,43.203,8.5156,538,0.51859,0,2.7881,0,0,0,0,0.18587,0,0.37175,0,0,0,0.55762,0,0,0,0,0,2.2305,0,0,0.18587,0.18587,0,0,0.37175,0,0,0,0,0.18587,0.18587,0.37175,0,0,0.18587,0,0.18587,0.18587,0,0,0,0.18587,0,0,0.18587,0,0,0,0,0.18587,0,0,0,0,0,0,0,0,0,0,1.3011,0,0,0.18587,0,0.18587,0,0,0.18587,0.55762,0,0,0,0,0,0,0,0,0,0.37175,0,0,0.18587,0,0,0,0,0,0,0,0,0,0,0,0.55762,0,0,0.18587,0,0,0.18587,0,0,0,0,0,0,0,0,0,0,0.37175,0,0,0,0,0,0,0,0,0.37175,0,0,0,0,0.18587,0,1.1152,0.18587,0,0,0,0,0,0,0,0,0,0,0,0,0.37175,0,0,0.18587,0,0.18587,0,0.18587,0,0,0,0,0,0.18587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55762,0,0,0,0,0,0.55762,0,0,0,0,0,0.18587,0,0,0,0,0.37175,0,0,0,0,0.18587,0.18587,0,0,0,0,0.55762,0.18587,0,0,0,0.37175,0,0,0,0,0.18587,0,0.18587,0,0,0,2.6022,0.18587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,40.643,8.8036,489,0.51534,0,1.4315,0,0,0,0.2045,0,0,0,0,0,0,1.0225,0,0,0,0,0.2045,1.4315,0,0,0.2045,0,0,0,0.409,0.6135,0.409,0,0,0.409,0,0,0.2045,0,0,0,0,0.2045,0,0,0,0,0.2045,0.2045,0,0,0.2045,0,0,0,0,0,0,0,0,0,0,0.409,0,0,0.409,0,0,0,0,0.2045,0.2045,0,0,0.409,0,0,0,0,0.2045,0.2045,0,0,0,0.409,0,0,0,0.2045,0,0.2045,0,0,0,0.409,0,0,0,0.409,0,0,0,0,0,0.2045,0,0,0.2045,0,0,0,0,0,1.4315,0,0,0.2045,0.2045,0,0.2045,0,0,0,0,0,0.6135,0,0,0,0,0,0,0,0,0,0,0,0.2045,0,0.2045,0,0,0,0,0,0,1.0225,0,0.409,0.2045,0,0,0,0.2045,0,0,0.2045,0,0,0.818,0,0.409,0,0,0,1.0225,0,0,0.409,0,0.2045,0,0,0,1.227,0,0,0,0,0,0.2045,0,0,0,0,0,0,0,0,0,0,0,0.409,0.409,0,0,0,0.2045,0,0.2045,0,0,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,49.881,10.714,446,0.47758,0,0.44843,0.22422,0,0,0,0,0,0.44843,0,0.22422,0,0.67265,0,0,0,0,0,0.67265,0,0,0,0,0.89686,0,0.44843,0.22422,0,0,0,1.5695,0,0.89686,0.67265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22422,1.7937,0,0.22422,0,0,0,0,0.22422,0,0,0,0,0.22422,0.22422,0,0,0.67265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22422,0,0,0,0,0,0,0,0,0,0,0,0,0.22422,0,0,0,0,0,0.22422,0,0,0,0,0,0.44843,0,0,0.22422,0,0,0,0,0,0,0.22422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22422,0,0,0,0,0,0.22422,0,0,0.22422,0,0.44843,0,0.22422,0,0,0,0,0,0,0,0.22422,0.22422,0,0,0.22422,0.22422,0,0,0,0,0,0,0,0.22422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,41.714,9.2222,576,0.37153,0,2.7778,0,0,0,0,0,0,0.17361,0,0.17361,0,0.34722,0,0,0,0,0,3.6458,0.17361,0,0,0,0,0,0.69444,0,0,0,0.52083,1.5625,0,0.34722,1.2153,0,0,0,0,0,0,0,0,2.7778,0,0.17361,0,0,0,0,0,0,0,0.17361,0,0.17361,0,0,0,0,0,0,0.34722,0,0,0.17361,0.17361,0.17361,0,0,0,0,0,0,0,0,0,0.34722,0,0,0,0.17361,0,0,0,0,0,0,0.17361,0,0,0,0,0,0,0,0,0,0.17361,0,1.7361,0,0,0.17361,0,0,0,0,0,0.34722,0,0,0,0,0,0,0,0,0.17361,0,0,0,0,0,0,1.9097,0.17361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52083,0,0,0,0,0.17361,0,0.86806,0,0,0,0,0,0.17361,0,0,0,0,0,0,0.17361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,33.844,7.3438,465,0.49462,0.21505,3.2258,0.21505,0,0,0,0,0,0.64516,0,0,0,0.21505,0,0,0,0,0,3.0108,0.64516,0,0,0.43011,0,0,0,0.21505,0,0,0,0,0,0,1.0753,0,0,0,0.21505,0,0,0,0,0,0.21505,0,0,0,0,0,0,0,0,0,0,0,0,0.21505,0,0,0,0,0.64516,0,0,0,0,0,0,0,0,0.64516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21505,0,0,0,0.21505,0,0,0,0,0.43011,0.43011,0,0,0.21505,0,0,0,0,0,0,0,0,0,0,0,0.21505,0,0,0,0,0,0,0,0,0.21505,0,0,0,0,0,0,0,0,1.0753,0,0,0.43011,0,0.21505,0,0,0,0,0,0,0.64516,0.43011,0,0,0,0,0,0.43011,0.21505,0,0,0,0.43011,0,1.2903,0,0.43011,0.86022,0,0,0,0,1.0753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
