Artist,im,like,get,got,dont,fuck,know,shit,nigga,aint,bitch,go,see,caus,yeah,love,want,make,back,sai,girl,let,never,fuce,need,man,time,come,us,tell,wanna,cant,right,babi,good,could,look,take,life,think,monei,em,even,real,feel,still,keep,work,give,yall,wai,said,world,black,bout,realli,ill,oh,new,talk,dai,better,made,put,call,thing,niggaz,everi,ya,live,gotta,uhh,high,tale,everyth,uh,ever,god,run,night,ass,head,boi,gon,kill,told,kid,light,two,yo,start,around,whole,hit,friend,iv,home,show,white,littl,ag,try,bad,hate,well,mean,gonna,turn,plai,would,alwai,hard,damn,rap,hear,chang,young,big,top,stop,might,next,last,drop,hei,best,bring,hand,dick,name,dream,tryna,everybodi,pleas,much,ask,wont,juke,lot,stai,face,hell,leav,came,find,na,million,peopl,citi,id,ging,hope,mind,first,walk,nobodi,old,game,gete,hoe,gone,thought,watch,year,homi,team,pop,act,rapper,crazi,til,song,gang,co,enough,blow,club,long,seen,smoke,bang,wolf,anoth,though,hold,awai,heart,ding,left,dead,done,sinc,alreadi,momma,noth,move,tire
G_Eazy,146,71,75,80,46,89,36,44,1,31,50,44,35,30,32,30,28,31,12,25,35,35,20,2,27,25,14,24,19,21,10,14,13,8,11,29,20,20,21,19,14,2,15,6,11,10,12,26,10,6,9,15,7,2,0,7,7,19,4,20,12,10,6,8,6,4,0,15,3,8,2,0,4,6,21,7,7,0,15,12,3,1,3,5,3,16,3,0,6,3,12,21,9,4,3,8,6,9,3,12,7,24,8,6,7,7,3,6,7,11,26,20,0,10,15,14,10,4,1,13,12,9,8,4,1,7,3,5,2,4,10,28,7,5,5,5,5,0,5,9,9,4,5,9,5,0,2,4,5,7,6,3,1,1,9,3,4,4,1,3,3,2,3,5,4,5,4,11,3,6,1,3,4,1,1,12,2,4,1,9,0,0,0,4,5,6,6,1,2,0,0,4,2,9,10,14,0
Iggy,122,95,92,65,53,21,41,56,8,30,65,34,36,32,25,48,34,36,34,20,22,30,27,0,24,14,29,16,17,28,15,27,13,27,19,27,13,8,20,16,50,31,23,11,14,10,21,44,22,13,13,12,33,5,10,9,18,16,19,13,6,14,11,18,10,7,0,6,13,14,11,2,7,1,9,9,7,2,11,7,9,6,4,9,16,1,0,4,5,4,7,3,6,17,7,8,13,14,13,4,1,3,19,16,6,6,24,7,11,8,3,8,21,0,3,23,4,3,12,8,6,8,8,26,8,1,4,12,1,6,9,7,3,6,4,5,7,0,11,7,4,3,8,4,10,0,14,2,3,2,0,4,5,6,9,3,1,4,2,12,8,7,4,3,1,9,11,1,4,9,2,5,4,0,4,6,5,5,3,1,31,0,4,2,2,5,19,1,6,3,5,1,7,1,18,4,2
Jay_Z,169,94,63,80,85,63,65,63,82,66,26,24,37,29,61,39,37,29,57,25,15,64,25,5,20,14,32,23,27,23,23,39,17,29,20,18,13,18,25,12,16,20,19,22,15,23,25,22,30,44,12,9,24,22,53,24,22,12,19,19,14,12,22,14,7,22,47,8,10,14,11,78,24,41,8,70,14,14,19,2,14,9,19,17,7,4,6,13,4,15,4,5,10,10,4,3,7,5,18,3,7,9,15,2,7,2,12,9,8,8,9,9,5,15,10,9,16,9,11,8,8,30,7,10,39,10,17,8,2,8,7,0,10,16,16,4,3,0,2,6,3,10,6,8,5,1,21,5,6,8,7,10,8,5,5,7,13,11,9,5,8,15,6,10,4,4,7,3,5,4,7,5,1,11,8,8,2,6,8,4,0,0,7,6,16,2,2,11,7,6,8,6,27,4,3,5,0
childish,198,138,23,72,60,44,50,64,45,52,16,23,28,43,40,15,32,28,20,39,75,12,25,17,22,48,18,14,37,12,42,23,17,20,13,12,21,10,9,14,8,12,10,24,13,25,26,11,14,10,11,16,7,36,5,17,11,11,13,17,8,8,11,14,14,19,25,8,1,5,16,2,27,9,5,8,3,1,7,9,8,6,12,3,3,9,23,14,8,7,9,10,2,5,12,5,4,22,23,5,6,5,6,15,6,7,1,16,9,10,8,14,0,15,10,5,1,6,4,9,8,2,6,6,2,8,6,5,12,12,3,1,8,4,2,2,3,0,7,9,10,6,4,0,13,1,2,4,3,7,2,6,4,4,5,10,6,10,7,6,5,6,9,8,1,4,1,11,16,6,4,7,1,6,7,2,2,6,4,3,3,1,0,12,6,3,2,16,7,2,4,2,1,3,1,7,0
Drake,147,91,120,118,91,54,112,90,128,44,22,41,23,35,65,28,23,33,40,35,55,9,22,54,48,35,28,13,19,22,17,9,46,16,4,13,11,20,12,22,26,25,23,47,19,20,11,22,14,13,22,5,3,1,20,33,21,14,15,7,23,10,11,7,20,31,2,32,14,13,17,0,5,18,18,2,40,8,14,31,1,4,36,20,4,15,4,3,4,0,35,4,22,18,13,18,5,9,0,5,9,2,3,7,10,17,3,5,8,3,8,5,13,4,8,7,10,17,4,4,6,2,6,8,0,34,5,1,1,3,1,17,4,9,13,14,3,0,6,13,4,19,5,9,4,0,9,8,23,3,26,4,10,2,2,5,6,5,10,7,5,4,8,3,3,22,2,2,2,5,0,2,0,9,5,0,25,4,5,1,0,0,8,8,5,1,5,2,9,1,9,7,7,2,0,2,3
Eminem,181,102,78,59,86,67,38,49,3,25,34,32,39,41,11,16,19,47,36,21,14,18,36,16,21,26,9,20,28,14,31,25,12,21,6,9,18,28,22,29,9,20,16,11,11,16,15,10,25,12,12,19,25,2,1,6,24,13,7,5,7,16,10,14,12,13,2,5,12,6,8,1,4,5,3,0,12,9,12,1,26,16,9,5,16,10,20,1,28,19,9,12,16,10,12,21,12,5,12,19,10,21,8,4,19,3,18,6,10,11,9,5,11,10,6,6,2,13,6,11,8,7,3,7,1,5,14,8,11,13,1,0,7,12,8,10,13,0,7,3,11,10,10,4,2,0,10,13,1,15,7,2,7,11,15,9,12,3,5,4,2,4,2,12,1,2,6,8,5,9,10,4,0,7,13,10,6,4,10,12,0,1,7,5,4,4,1,4,5,18,5,1,2,13,5,2,41
Chance,109,68,51,46,41,23,38,37,48,33,16,29,14,24,46,55,7,21,33,8,6,21,18,14,7,16,24,10,25,8,22,8,16,9,66,16,16,16,3,18,9,8,25,2,12,35,7,11,4,6,5,14,3,2,14,13,7,5,11,6,20,33,11,11,13,4,0,4,17,3,10,4,2,1,15,3,5,16,3,13,16,9,4,7,2,8,8,6,9,16,0,9,2,8,4,5,3,10,6,12,7,3,5,4,4,10,9,5,6,5,5,2,10,19,4,7,13,3,1,5,6,3,12,2,14,1,9,9,6,9,4,7,14,4,0,6,2,70,17,6,6,2,4,6,6,63,1,2,1,5,2,12,3,4,0,7,6,4,4,6,1,2,9,4,8,4,12,1,8,2,13,11,0,2,4,6,4,3,7,7,11,0,5,8,4,5,4,3,3,3,8,6,0,2,6,1,0
Tyler,199,78,66,63,87,169,38,89,100,33,83,30,31,47,26,13,45,27,15,31,9,32,20,126,15,17,16,21,17,21,24,14,14,5,9,16,16,22,20,24,6,26,15,8,14,7,19,4,20,11,8,8,9,11,5,19,15,13,7,15,9,8,12,10,15,7,18,5,0,10,21,8,2,6,8,1,8,6,3,6,6,10,6,9,18,6,22,9,9,12,9,12,10,12,18,4,12,5,6,17,9,10,4,9,13,14,6,5,2,9,2,10,10,3,5,1,4,5,22,8,5,2,5,6,3,4,8,8,29,8,11,5,4,1,5,10,2,0,5,4,7,4,4,3,8,0,2,8,2,4,6,6,5,6,5,5,2,2,14,5,4,4,1,2,2,4,7,2,3,4,6,6,40,1,6,4,2,0,3,12,1,51,11,5,1,3,3,3,6,10,1,8,3,0,0,3,0
Kendrick,99,68,72,52,75,28,65,27,74,32,44,32,47,21,14,70,50,33,29,43,16,12,39,9,17,19,37,81,20,46,26,8,27,19,12,26,31,22,33,9,8,9,12,17,33,10,7,7,12,13,24,23,20,37,9,6,9,11,10,17,18,12,19,23,13,5,0,18,15,27,9,11,34,6,7,5,5,19,11,13,9,18,10,25,27,9,6,5,20,6,9,16,9,8,4,9,7,7,4,10,5,5,9,19,8,11,3,13,15,13,5,4,6,2,14,6,14,13,12,4,12,7,10,2,6,2,6,11,5,6,12,2,12,2,8,5,28,0,6,3,9,3,1,10,5,0,3,8,14,7,3,12,9,9,6,5,2,11,4,7,1,4,7,3,25,0,4,3,8,5,4,11,6,2,6,3,2,6,10,2,7,0,10,0,4,5,7,2,7,7,9,5,0,11,1,6,5
Kanye,147,92,97,73,67,33,103,35,36,58,28,55,53,39,20,12,40,30,25,42,32,37,30,7,39,25,31,16,26,30,10,43,27,46,29,21,28,21,18,15,30,20,12,19,24,9,20,4,6,29,29,23,10,23,24,6,4,24,30,14,14,6,13,6,14,11,29,19,34,17,11,10,6,22,21,9,13,38,16,15,17,29,4,7,10,26,10,45,7,18,5,5,11,5,19,14,24,7,8,2,28,7,12,6,7,9,6,13,9,6,9,6,6,4,6,2,5,6,6,8,7,7,11,5,2,3,3,8,6,6,16,7,3,13,10,10,4,0,1,7,3,5,19,12,7,0,0,9,5,5,4,3,10,14,6,7,8,6,4,4,22,11,10,9,9,3,3,15,3,7,10,3,1,17,2,5,5,17,4,3,1,1,2,4,6,19,4,10,1,2,3,12,3,7,7,7,0
