Song,im,like,get,got,dont,fuck,know,shit,nigga,aint,bitch,go,see,caus,yeah,love,want,make,back,sai,girl,let,never,fuce,need,man,time,come,us,tell,wanna,cant,right,babi,good,could,look,take,life,think,monei,em,even,real,feel,still,keep,work,give,yall,wai,said,world,black,bout,realli,ill,oh,new,talk,dai,better,made,put,call,thing,niggaz,everi,ya,live,gotta,uhh,high,tale,everyth,uh,ever,god,run,night,ass,head,boi,gon,kill,told,kid,light,two,yo,start,around,whole,hit,friend,iv,home,show,white,littl,ag,try,bad,hate,well,mean,gonna,turn,plai,would,alwai,hard,damn,rap,hear,chang,young,big,top,stop,might,next,last,drop,hei,best,bring,hand,dick,name,dream,tryna,everybodi,pleas,much,ask,wont,juke,lot,stai,face,hell,leav,came,find,na,million,peopl,citi,id,ging,hope,mind,first,walk,nobodi,old,game,gete,hoe,gone,thought,watch,year,homi,team,pop,act,rapper,crazi,til,song,gang,co,enough,blow,club,long,seen,smoke,bang,wolf,anoth,though,hold,awai,heart,ding,left,dead,done,sinc,alreadi,momma,noth,move,tire
acidrain.ctr.txt,6,1,6,0,6,1,0,1,1,0,1,2,2,1,1,1,0,2,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,2,1,0,3,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
BBC.jyz.txt,2,3,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,2,1,0,14,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starborn.jyz.txt,4,5,1,3,0,1,0,1,2,0,1,2,2,0,0,0,1,1,2,0,0,1,0,1,0,1,2,1,1,0,0,2,0,0,0,3,0,0,2,0,0,4,0,2,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0
Energy.drk.txt,2,3,0,28,2,5,0,2,17,3,1,1,5,0,5,0,0,1,0,1,1,0,1,5,0,2,1,0,0,2,2,0,0,0,0,0,1,5,3,0,1,1,0,4,0,1,2,0,1,2,3,0,0,0,3,1,0,0,0,1,3,0,0,0,1,0,0,1,1,0,1,0,1,3,0,0,0,0,3,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hang_ten.ezy.txt,11,1,2,1,1,3,0,1,0,0,1,1,1,3,0,0,0,1,0,7,1,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,4,2,0,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
part_2.jyz.txt,3,0,3,3,7,1,2,1,2,4,0,1,2,0,2,6,2,1,1,2,5,1,4,0,0,0,0,4,1,1,0,0,1,3,2,0,0,1,5,0,0,0,1,0,0,0,1,0,17,0,0,0,1,1,1,0,4,1,0,0,1,0,0,0,0,1,3,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
mAAdcity.ken.txt,4,3,2,3,0,4,3,4,11,5,1,3,2,2,3,0,0,3,2,3,0,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,3,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,3,0,0,1,0,2,0,1,0,0,1,0,0,1,2,0,1,0,1,2,1,0,4,1,0,1,1,4,0,0,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,1,2,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,2,2,0,0,0,1,0,1,1,1,1,0,2,0,2,0,1,0
almost.ezy.txt,10,3,2,3,1,3,1,3,0,0,2,5,0,1,5,0,0,4,3,3,0,0,3,0,0,3,0,0,0,1,0,1,1,0,0,1,1,2,0,1,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,2,3,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
freaks.gam.txt,9,5,3,5,2,3,0,5,2,1,3,0,0,2,9,1,0,2,3,2,7,1,1,5,3,4,2,1,0,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,4,0,0,1,1,0,1,0,0,2,2,1,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
runway.igg.txt,6,5,4,0,3,0,1,1,0,2,0,5,7,2,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,5,2,0,0,0,0,0,1,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,5,16,0,0,0,0,0,0,0,0,0,0
